episode,time,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
115,0,0.0037282414,0.0118785035,-0.016119888,743.1409793486057,123,0,124,192.6632482376346,192.6632482310185,98.0-22.0-79.0-76.0-23.0,0.023379408,0.01920967,0.010964804
116,0,0.0027771879,0.011754961,-0.022724012,796.8195062676969,119,0,124,192.53618548087715,192.5361854745176,89.0-28.000000000000004-78.0-74.0-23.0,0.031857215,0.02873553,0.008832027
117,0,-0.012325552,0.011834322,-2.0,739.5576077441618,115,0,120,192.6806722324006,192.68067222525073,92.0-20.0-68.0-82.0-23.0,0.10082737,0.042714253,0.11881395
118,0,-0.013317091,0.011776925,-2.0,819.7703898270178,98,0,114,192.69895714467359,192.69895713738651,73.0-26.0-60.0-73.0-26.0,0.09590682,0.038007814,0.11836379
119,0,-0.013808967,0.011799097,-1.0,808.7798450375294,95,0,124,192.81273994952232,192.81273994155828,84.0-23.0-60.0-56.99999999999999-30.0,0.056436136,0.0054238336,0.104616895
120,0,-0.00459277,0.0118785035,-1.0,770.490663768942,116,0,124,192.6233148583153,192.623314851351,98.0-23.0-73.0-68.0-25.0,0.03247652,0.015601428,0.036328305
121,0,-0.028761065,0.0118785035,-2.0,768.3321750639692,92,0,111,192.95818654194431,192.95818653365868,90.0-25.0-70.0-41.0-23.0,0.2186217,0.06739607,0.30500638
122,0,-0.13343793,0.0118785035,-2.0,780.1669120488773,77,0,123,193.19833115709213,193.1983311475978,82.0-25.0-57.99999999999999-38.0-22.0,1.3309704,0.021617746,2.6212013
123,0,-0.012516199,0.0118785035,-2.0,764.9264372087775,74,0,74,193.32791672951487,193.32791672123383,60.0-22.0-73.0-46.0-20.0,0.051102467,-0.017506283,0.13970736
124,0,-0.06019205,0.011799097,-2.0,737.7247958206958,100,0,106,192.97243623075363,192.9724362222841,100.0-20.0-70.0-44.0-23.0,0.5787909,0.08096456,0.99820644
125,0,-0.0058875876,0.011799097,-1.0,875.9376008097682,102,0,124,192.54475299145903,192.5447529841873,84.0-31.0-57.99999999999999-62.0-30.0,0.051311903,0.010480155,0.084486194
126,0,0.0020838936,0.0118785035,-0.022642884,870.3293846778976,120,0,124,192.39286513080404,192.39286512388568,100.0-30.0-57.99999999999999-74.0-31.0,0.020525796,0.000100579855,0.043518864
127,0,-0.0055462075,0.0118785035,-1.0,815.7217277597085,97,0,124,192.74924699885293,192.74924699100143,81.0-25.0-55.00000000000001-68.0-28.000000000000004,0.031894486,0.00666284,0.053058036
128,0,0.0027020427,0.011596752,-0.020576784,805.6963353336507,96,0,124,192.73956921320254,192.73956920521556,84.0-28.000000000000004-56.99999999999999-63.0-23.0,0.03159406,0.022023158,0.021767966
129,0,-0.04534286,0.01172585,-1.0,819.5592579748869,108,0,124,192.5685409990777,192.56854099168424,95.0-30.0-63.0-62.0-25.0,0.32126245,0.012430644,0.6202931
130,0,-0.013487026,0.0118785035,-2.0,846.3953028022728,101,0,101,192.6949950985949,192.69499509175427,81.0-28.000000000000004-78.0-47.0-30.0,-0.019467827,-0.065192565,0.09424911
131,0,0.00041542485,0.0118785035,-0.030239452,897.4390489559339,90,0,124,192.73384171846735,192.73384171139594,66.0-31.0-65.0-52.0-31.0,-0.005685085,-0.0134944385,0.018427918
132,0,-0.013395743,0.011799097,-2.0,838.7350749589125,54,0,54,193.8422272594357,193.84222724987342,52.0-23.0-68.0-22.0-23.0,0.15033074,0.06862921,0.1660671
133,0,-0.013317699,0.011799097,-2.0,811.4455996964468,98,0,105,192.7836436654502,192.7836436580567,86.0-28.000000000000004-73.0-46.0-26.0,0.04347009,-0.0068489322,0.10328107
134,0,-0.04636401,0.0118785035,-1.0,872.8759456439287,83,0,124,192.90526567242196,192.9052656637098,79.0-30.0-50.0-47.0-28.000000000000004,0.3511485,0.008787771,0.68752104
135,0,0.0016298835,0.011741712,-0.021679789,870.410865356712,91,0,124,192.7596576406048,192.7596576327993,76.0-28.000000000000004-55.00000000000001-56.99999999999999-31.0,0.010300888,-0.0005169865,0.02434702
136,0,-0.01400556,0.01180519,-2.0,846.3796143135423,88,0,117,192.90621201081112,192.90621200288433,81.0-26.0-66.0-38.0-31.0,0.07174477,0.023763826,0.09861899
137,0,-0.013468026,0.0117109,-1.0,837.7413167224466,110,0,124,192.55316595188293,192.5531659446504,97.0-26.0-65.0-57.99999999999999-31.0,0.05671511,0.008856971,0.098367065
138,0,-0.054670162,0.011834322,-1.0,854.7947517448811,64,0,124,193.5348098141176,193.53480980316925,71.0-23.0-39.0-42.0-28.000000000000004,0.4098835,0.017987281,0.78646845
139,0,-0.06120965,0.0118785035,-1.0,799.4764638018736,92,0,124,192.9099967729918,192.90999676358598,95.0-25.0-46.0-57.99999999999999-25.0,0.3504864,0.013884498,0.67579615
